Date,Name,Year,Letterboxd URI
2023-05-25,Anatomy of a Fall,2023,https://boxd.it/yuDE
2023-05-25,The Zone of Interest,2023,https://boxd.it/gJsA
2023-05-25,Youth (Spring),2023,https://boxd.it/hMzc
2023-05-25,Perfect Days,2023,https://boxd.it/ATh8
2023-05-25,May December,2023,https://boxd.it/vEE2
2023-05-25,Velvet Goldmine,1998,https://boxd.it/2878
2023-05-25,Monster,2023,https://boxd.it/DJEM
2023-05-25,Belle de Jour,1967,https://boxd.it/29Uq
2023-05-26,Moonlit Winter,2019,https://boxd.it/lfnK
2023-05-26,The Florida Project,2017,https://boxd.it/dMG0
2023-05-27,Audition,1999,https://boxd.it/1UHm
2023-05-29,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2023-05-29,The Accountant,2016,https://boxd.it/9EhI
2023-06-03,The Man Who Stole the Sun,1979,https://boxd.it/igK
2023-06-03,Cinema Paradiso,1988,https://boxd.it/1UlA
2023-06-08,Andhadhun,2018,https://boxd.it/jtfc
2023-06-10,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2023-06-10,Mala Noche,1986,https://boxd.it/2avc
2023-06-10,Il Buco,2021,https://boxd.it/ozry
2023-07-02,CODA,2021,https://boxd.it/tbf4
2023-07-14,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK
2023-07-14,Model Shop,1969,https://boxd.it/32UA
2023-07-17,I'm a Virgo,2023,https://boxd.it/FLQO
2023-07-17,Joyland,2022,https://boxd.it/AlzM
2023-07-17,La La Land,2016,https://boxd.it/a5fa
2023-07-17,Il Mare,2000,https://boxd.it/1RuO
2023-07-17,Rear Window,1954,https://boxd.it/2a6Q
2023-07-17,An American in Paris,1951,https://boxd.it/26kY
2023-07-17,Vive L'Amour,1994,https://boxd.it/2wsa
2023-07-17,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG
2023-07-17,Four Lions,2010,https://boxd.it/18do
2023-07-17,Wendy and Lucy,2008,https://boxd.it/1Zx2
2023-07-17,Some Like It Hot,1959,https://boxd.it/2aNA
2023-07-17,Sunset Boulevard,1950,https://boxd.it/2a20
2023-07-17,BlackBerry,2023,https://boxd.it/CoVK
2023-07-17,Thief,1981,https://boxd.it/1TEc
2023-07-17,The Time to Live and the Time to Die,1985,https://boxd.it/Oc6
2023-07-17,Flowers of Shanghai,1998,https://boxd.it/Omq
2023-07-17,A City of Sadness,1989,https://boxd.it/EIm
2023-07-17,Café Lumière,2003,https://boxd.it/yNA
2023-07-17,Le Havre,2011,https://boxd.it/2vzu
2023-07-17,Only Lovers Left Alive,2013,https://boxd.it/4O1U
2023-07-17,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2023-07-17,Dazed and Confused,1993,https://boxd.it/1Ylk
2023-07-18,Funeral Parade of Roses,1969,https://boxd.it/28Cg
2023-07-22,Rouge,1987,https://boxd.it/2cdk
2023-07-23,Julien Donkey-Boy,1999,https://boxd.it/VNI
2023-07-23,Honeyland,2019,https://boxd.it/kL8K
2023-07-25,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2023-07-30,Drunken Angel,1948,https://boxd.it/1uYQ
